Name,random fact,Habitat,Diet,Location,Size,Scientific Name 
California Sheephead,changes sex,Kelp forest,kelp and sea urchins,Mexico,3 feet,Semicossyphus pulcher
Decorator Crab,grows a garden on its back,Kelp forest,plankton and dead animal flesh,Northern Alaska,5 inches,Loxorhynchus crispatus
Kelp Pipefish,the female lays eggs onto the male body,Kelp forest,"mysis shrimp, plankton, worms, and insects",Alaska to Southern Baja Mexico,13 inches,Syngnathus californiensis
Scorpionfish,uses venom to kill animals,Kelp forest,"small fish, crustaceans ",temperate oceans ,6-18 inches,Scorpaenopsis oxycephala
